ID,designation_header,strain_number_header,is_type_strain_header,species,genus
132919,"Th 106, Th106","DSM 26286",0,"Wocania ichthyoenteri",Wocania
167271,IOP_32,"MCCC 1A14017, KCTC 62660",1,"Wocania indica",Wocania
141145,XK5,"ATCC BAA-2615, CICC 10905",1,"Woeseia oceani",Woeseia
17623,S5,"DSM 18708, CCM 7401, CCUG 57199",1,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
132879,78876,"DSM 100374",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
132880,81198,"DSM 100375",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
132881,574535/2,"DSM 100676",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
132882,575028,"DSM 100917",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
146468,,"CCUG 31236, LMG 15545",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
146469,,"CCUG 31237, LMG 15546",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169612,105708,"DSM 105708",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169613,105712,"DSM 105712",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169614,105838,"DSM 105838",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169615,105839,"DSM 105839",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169616,105984,"DSM 105984",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169617,108045,"DSM 108045",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169618,108048,"DSM 108048",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169619,110179,"DSM 110179",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
169620,110473,"DSM 110473",0,"Wohlfahrtiimonas chitiniclastica",Wohlfahrtiimonas
130782,,"DSM 100568, JCM 18424, KACC 16839, KBL 006",1,"Wohlfahrtiimonas larvae",Wohlfahrtiimonas
158559,34C10-3-10,"CFCC 12747, KCTC 52796",1,"Wohlfahrtiimonas populi",Wohlfahrtiimonas
143446,,"CCUG 19166",0,"Wolinella sp.",Wolinella
143447,,"CCUG 19167",0,"Wolinella sp.",Wolinella
6116,,"DSM 1740, ATCC 29543, JCM 31913, CCUG 13145, CCUG 12550, LMG 7466, CIP 103760, KCTC 5018, LMG 7608, NCTC 11488",1,"Wolinella succinogenes",Wolinella
6218,CM243,"DSM 17123, LMG 21817, VKM B-1512",1,"Woodsholea maritima",Woodsholea
6219,CM251,"DSM 17124, LMG 21818",0,"Woodsholea maritima",Woodsholea
132678,DY30321,"DSM 103478, KCTC 15549, MCCC 1A01532",1,"Wukongibacter baidiensis",Wukongibacter
